,approach_approaches_approached_,break_broke_breaks_,clean_cleaned_cleans_,drive_drove_drives_,eat_ate_eats_,enter_entered_enters_,fear_fears_feared_,fill_filled_fills_,hear_hears_heard_,lift_lifted_lifts_,listen_listens_listened_,manipulate_manipulates_manipulated_,move_moved_moves_,neared_nears_near_,open_opens_opened_,push_pushed_pushes_,ride_rides_rode_,rub_rubbed_rubs_,run_ran_runs_,say_said_says_,see_sees_,smell_smells_smelled_,taste_tasted_tastes_,touch_touched_touches_,wear_wore_wears_
arch,0.06,0.047,0.185,0.075,0.035,0.032,0.024,0.054,0.012,0.053,0.009,0,0.268,0.614,0.422,0.004,0.018,0.007,0.129,0.244,0.474,0,0,0.127,0.015
chimney,0.003,0.015,0.893,0.07,0.002,0.074,0,0.126,0.003,0.006,0.002,0,0.027,0.276,0.1,0.037,0,0,0.205,0.119,0.175,0.008,0,0.03,0.033
closet,0.013,0.008,0.515,0.013,0.013,0.143,0.017,0.121,0.009,0.009,0.002,0,0.059,0.057,0.768,0.01,0,0.002,0.094,0.161,0.258,0.007,0,0.001,0.031
door,0.008,0.012,0.003,0.015,0.001,0.036,0.001,0.002,0.027,0.008,0.003,0,0.017,0.031,0.996,0.024,0.001,0,0.027,0.037,0.029,0,0,0.003,0.001
window,0.002,0.008,0.003,0.007,0.001,0.014,0,0.004,0.002,0.002,0.001,0,0.012,0.009,0.998,0.001,0.001,0,0.01,0.008,0.05,0,0,0.002,0.002
coat,0.007,0.009,0.136,0.194,0.003,0.011,0.001,0.054,0.004,0.012,0.002,0,0.04,0.016,0.58,0.019,0.105,0.018,0.045,0.127,0.161,0.009,0.003,0.028,0.739
dress,0.003,0.002,0.043,0.101,0.034,0.006,0.001,0.006,0.003,0.037,0.003,0,0.017,0.014,0.474,0.016,0.016,0.001,0.027,0.092,0.198,0.001,0.023,0.014,0.843
pants,0.007,0.066,0.027,0.004,0.007,0.005,0.01,0.012,0.006,0.004,0.003,0,0.013,0.004,0.616,0.015,0.047,0.012,0.017,0.063,0.102,0.005,0.001,0.013,0.773
shirt,0.002,0.045,0.095,0.011,0.036,0.017,0.015,0.008,0.002,0.075,0.004,0,0.011,0.005,0.554,0.022,0.034,0.006,0.058,0.302,0.177,0.006,0.003,0.036,0.739
skirt,0,0.734,0.016,0.001,0.001,0,0,0.002,0,0.311,0,0,0.013,0.005,0.288,0.025,0.028,0.009,0.02,0.045,0.083,0,0,0.016,0.52
bed,0.038,0.086,0.192,0.074,0.107,0.045,0.02,0.081,0.073,0.114,0.039,0.011,0.207,0.59,0.489,0.062,0.021,0.019,0.212,0.322,0.34,0.013,0.007,0.048,0.085
chair,0.008,0.026,0.014,0.01,0.007,0.004,0.003,0.029,0.022,0.92,0.01,0,0.137,0.06,0.141,0.102,0.031,0.003,0.026,0.285,0.117,0.001,0,0.041,0.002
desk,0.054,0.014,0.187,0.022,0.038,0.015,0.001,0.029,0.012,0.078,0.014,0,0.115,0.193,0.862,0.024,0.033,0.002,0.106,0.273,0.267,0.001,0,0.022,0.002
dresser,0.011,0,0.108,0.022,0,0,0,0.057,0,0,0,0,0.192,0.164,0.812,0.026,0,0.043,0.027,0.444,0.247,0,0,0.019,0.008
table,0.015,0.012,0.011,0.009,0.017,0.02,0.001,0.033,0.003,0.025,0.002,0.001,0.044,0.032,0.087,0.008,0.002,0.001,0.022,0.046,0.992,0,0.002,0.01,0.004
ant,0.023,0.017,0.132,0.01,0.062,0.016,0.005,0.005,0.016,0.016,0.004,0.003,0.074,0.017,0.13,0,0.015,0.006,0.944,0.156,0.198,0,0.006,0.005,0.003
bee,0.175,0.302,0.04,0.022,0.092,0.046,0.02,0.014,0.053,0.018,0.08,0.008,0.099,0.054,0.099,0.015,0.067,0.002,0.148,0.596,0.671,0.027,0.004,0.013,0.021
beetle,0,0.014,0.063,0.702,0.487,0.025,0,0.011,0.014,0.016,0,0,0.064,0.013,0.203,0.011,0.063,0,0.06,0.379,0.256,0,0,0,0.045
butterfly,0.004,0.146,0.013,0.06,0.064,0.009,0.039,0.057,0.037,0.01,0.081,0,0.044,0.087,0.751,0.093,0.05,0.018,0.14,0.252,0.51,0.003,0.004,0.103,0.141
fly,0.023,0.037,0.01,0.929,0.023,0.009,0.027,0.006,0.043,0.019,0.005,0.002,0.026,0.048,0.196,0.005,0.045,0,0.118,0.145,0.23,0.001,0.001,0.017,0.027
bottle,0.003,0.154,0.113,0.077,0.012,0.016,0.005,0.477,0.019,0.033,0.003,0,0.015,0.026,0.821,0.054,0.006,0.033,0.031,0.166,0.127,0.01,0.033,0.062,0.016
cup,0.006,0.044,0.044,0.05,0.025,0.055,0.036,0.291,0.002,0.122,0.005,0,0.053,0.014,0.885,0.027,0.037,0.014,0.19,0.18,0.133,0,0.097,0.056,0.034
glass,0.01,0.52,0.203,0.014,0.025,0.02,0.006,0.663,0.033,0.083,0.004,0.003,0.027,0.048,0.279,0.022,0.025,0.014,0.035,0.137,0.356,0.005,0.011,0.103,0.021
knife,0.03,0.049,0.157,0.128,0.106,0.042,0.073,0.013,0.006,0.039,0.005,0,0.047,0.115,0.802,0.069,0.002,0.006,0.32,0.204,0.257,0,0.002,0.244,0.053
spoon,0.01,0.085,0.139,0.037,0.741,0.004,0,0.103,0.006,0.093,0.011,0,0.042,0.017,0.523,0.049,0.002,0.019,0.299,0.142,0.103,0,0.074,0.006,0
bell,0.011,0.03,0.011,0.086,0.023,0.036,0.004,0.006,0.217,0.011,0.419,0,0.044,0.056,0.182,0.231,0.048,0.001,0.146,0.779,0.209,0,0.002,0.026,0.027
key,0.122,0.058,0.014,0.168,0.011,0.818,0.028,0.045,0.028,0.006,0.013,0.003,0.166,0.055,0.213,0.038,0.005,0.001,0.072,0.276,0.336,0,0.003,0.092,0.012
refrigerator,0,0.027,0.362,0.017,0.099,0.039,0,0.157,0.011,0.006,0,0,0.057,0.05,0.894,0.01,0,0.001,0.087,0.08,0.102,0.01,0.01,0.04,0
telephone,0.008,0.029,0.006,0.03,0,0.358,0.007,0.01,0.034,0.016,0.029,0,0.017,0.042,0.154,0.011,0.001,0,0.033,0.468,0.775,0,0,0.143,0.005
watch,0.003,0.013,0.013,0.098,0.049,0.008,0.006,0.007,0.021,0.003,0.782,0,0.027,0.006,0.562,0.003,0.016,0.001,0.04,0.156,0.179,0.001,0.001,0.015,0.026
chisel,0,0.104,0.034,0.096,0,0,0,0.012,0,0.737,0,0.015,0.02,0,0.14,0.011,0,0.012,0.022,0.035,0.028,0,0,0.642,0.024
hammer,0.023,0.129,0.009,0.143,0.01,0.007,0.014,0.011,0.016,0.051,0.005,0,0.027,0.014,0.12,0.019,0.006,0.001,0.022,0.215,0.117,0.003,0.001,0.937,0.061
pliers,0,0.11,0,0.084,0,0,0,0,0,0.015,0,0,0.04,0.013,0.977,0.12,0,0,0,0.013,0.066,0,0,0.075,0
saw,0.019,0.023,0.005,0.032,0.008,0.031,0.019,0.009,0.219,0.018,0.003,0,0.052,0.028,0.131,0.004,0.014,0,0.064,0.934,0.226,0.004,0.002,0.011,0.006
screwdriver,0,0.057,0.028,0.341,0,0,0,0.019,0.006,0.081,0,0,0.078,0.019,0.838,0.386,0,0,0.011,0.036,0.112,0,0,0.033,0
carrot,0.883,0.007,0,0.056,0.368,0,0,0.03,0,0,0,0,0.008,0.012,0.015,0.003,0.005,0,0.004,0.242,0.13,0.02,0.063,0,0
celery,0,0,0.115,0,0.837,0,0,0.315,0,0,0,0,0,0,0.06,0,0,0,0,0.016,0.243,0.059,0.346,0.029,0
corn,0.003,0.014,0.054,0.011,0.785,0.316,0,0.19,0.068,0.003,0.005,0.005,0.027,0.112,0.161,0.013,0.035,0.009,0.057,0.365,0.224,0.04,0.108,0.005,0.004
lettuce,0.006,0.026,0.082,0.005,0.979,0,0,0.108,0,0,0,0,0,0.031,0.015,0,0,0,0.004,0.116,0.065,0,0.056,0.021,0
tomato,0,0.01,0.009,0.011,0.26,0.014,0.005,0.082,0.002,0,0,0,0,0.039,0.056,0,0.007,0.022,0.017,0.919,0.123,0.02,0.173,0.173,0.006
airplane,0.048,0.028,0.019,0.023,0.024,0.056,0.019,0.032,0.066,0.072,0.015,0,0.052,0.166,0.114,0.024,0.918,0,0.052,0.201,0.221,0.005,0,0.048,0.001
bicycle,0.003,0.004,0.001,0.032,0.001,0.004,0.002,0.002,0.003,0.011,0.001,0,0.009,0.017,0.032,0.006,0.996,0,0.023,0.027,0.03,0,0,0.001,0.056
car,0.026,0.093,0.083,0.778,0.012,0.038,0.003,0.046,0.032,0.057,0.016,0,0.088,0.289,0.195,0.034,0.201,0.001,0.19,0.121,0.384,0.019,0,0.027,0.016
train,0.039,0.039,0.004,0.489,0.016,0.031,0.008,0.02,0.06,0.009,0.009,0,0.061,0.246,0.059,0.011,0.791,0,0.205,0.085,0.095,0.001,0,0.005,0.005
truck,0.015,0.029,0.037,0.521,0.003,0.022,0.005,0.054,0.018,0.75,0.002,0,0.173,0.182,0.149,0.023,0.089,0,0.165,0.109,0.163,0.004,0,0.021,0.004
